id_client;nationalite;flag_est_parrain;flag_est_filleul;date_debut_premier_sejour;date_fin_premier_sejour;type_destination_premier_sejour;gamme_premier_sejour;pays_premier_sejour;saison_premier_sejour;canal_reservation_premier_sejour;nb_adultes_premier_sejour;nb_enfants_premier_sejour;date_debut_dernier_sejour;date_fin_dernier_sejour;type_destination_dernier_sejour;gamme_dernier_sejour;pays_dernier_sejour;saison_dernier_sejour;canal_reservation_dernier_sejour;nb_adultes_dernier_sejour;nb_enfants_dernier_sejour;nb_sejours_2021;nb_sejours_2022;nb_sejours_2023;mt_sejours_2021;mt_sejours_2022;mt_sejours_2023;duree_sejours_2021;duree_sejours_2022;duree_sejours_2023;nb_participants_sejours_2021;nb_participants_sejours_2022;nb_participants_sejours_2023;mt_extras_sejours_2021;mt_extras_sejours_2022;mt_extras_sejours_2023;nb_residences_distinctes;duree_sejour_moyen;liste_extras
ID_26394232920132;France;0;0;08/10/2022;15/10/2022;Soleil;4;Morocco;Eté;Web;1;;08/10/2022;15/10/2022;Soleil;4;Morocco;Eté;Web;1;;0;1;0;0;1795;0;0;7;0;0;1;0;0;0;0;1;7;
ID_26396132953847;France;0;0;14/05/2022;28/05/2022;Soleil;4;Morocco;Hiver;Agence;2;;14/05/2022;28/05/2022;Soleil;4;Morocco;Hiver;Agence;2;;0;1;0;0;4574;0;0;14;0;0;2;0;0;628;0;1;14;Excursion|Bien-être|Boutique|Services|Sports|Restauration
ID_26398432159454;France;0;1;09/09/2023;20/09/2023;Soleil;3;Italy;Eté;Web;1;1;09/09/2023;20/09/2023;Soleil;3;Italy;Eté;Web;1;1;0;0;1;0;0;3220;0;0;11;0;0;2;0;0;0;1;11;
ID_26400232717797;France;1;0;14/04/2023;21/04/2023;Montagne;4;France;Hiver;Agence;2;;14/04/2023;21/04/2023;Montagne;4;France;Hiver;Agence;2;;0;0;1;0;0;5152;0;0;7;0;0;2;0;0;265;1;7;Bien-être|Excursion
ID_26404332917755;France;0;1;14/04/2023;21/04/2023;Montagne;3;France;Hiver;Indirect;2;;14/04/2023;21/04/2023;Montagne;3;France;Hiver;Indirect;2;;0;0;1;0;0;3082;0;0;7;0;0;2;0;0;426;1;7;Bien-être|Excursion|Sports
ID_26407832931436;France;0;0;18/12/2021;19/12/2021;Soleil;4;Martinique;Eté;Agence;2;;18/12/2021;19/12/2021;Soleil;4;Martinique;Eté;Agence;2;;1;0;0;319;0;0;1;0;0;2;0;0;0;0;0;1;1;
ID_26418532358837;France;0;1;25/03/2021;01/04/2021;Montagne;4;Switzerland;Hiver;Agence;1;;25/03/2021;01/04/2021;Montagne;4;Switzerland;Hiver;Agence;1;;1;0;0;1454;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_26428232101774;France;0;0;15/05/2022;22/05/2022;Montagne;4;France;Hiver;Agence;2;;15/05/2022;22/05/2022;Montagne;4;France;Hiver;Agence;2;;0;1;0;0;3557;0;0;7;0;0;2;0;0;88;0;1;;Boutique|Restauration
ID_26432632130739;France;0;0;29/06/2022;03/07/2022;Soleil;4;France;Hiver;Agence;2;;08/08/2022;15/08/2022;Soleil;3;Turkey;Eté;Agence;2;;0;2;0;0;3359;0;0;11;0;0;4;0;0;0;0;2;6;
ID_26433832463904;France;0;0;08/10/2022;22/10/2022;Soleil;3;Turkey;Eté;Agence;1;;08/10/2022;22/10/2022;Soleil;3;Turkey;Eté;Agence;1;;0;1;0;0;2850;0;0;14;0;0;1;0;0;0;0;1;14;
ID_26444132762787;France;0;0;15/10/2021;22/10/2021;Montagne;4;Italy;Eté;Web;2;;15/10/2021;22/10/2021;Montagne;4;Italy;Eté;Web;2;;1;0;0;2146;0;0;7;0;0;2;0;0;309;0;0;1;7;Boutique|Bien-être|Excursion
ID_26444532530123;France;0;0;12/11/2022;19/11/2022;Soleil;3;Turkey;Eté;Indirect;1;;12/11/2022;19/11/2022;Soleil;3;Turkey;Eté;Indirect;1;;0;1;0;0;1517;0;0;7;0;0;1;0;0;0;0;1;7;
ID_26447832899016;France;0;0;11/02/2021;14/02/2021;Montagne;4;France;Hiver;Agence;1;;11/02/2021;14/02/2021;Montagne;4;France;Hiver;Agence;1;;1;0;0;992;0;0;3;0;0;1;0;0;0;0;0;1;3;
ID_26452932294270;France;0;0;05/12/2021;12/12/2021;Soleil;3;Tunisia;Eté;Indirect;2;1;05/12/2021;12/12/2021;Soleil;3;Tunisia;Eté;Indirect;2;1;1;0;0;2337;0;0;7;0;0;3;0;0;0;0;0;1;7;
ID_26457032407676;France;0;0;02/11/2021;09/11/2021;Soleil;4;Mauritius Islands;Eté;;1;;02/11/2021;09/11/2021;Soleil;4;Mauritius Islands;Eté;Agence;1;;1;0;0;2414;0;0;7;0;0;1;0;0;622;0;0;1;7;Services|Boutique|Restauration|Bien-être
ID_26460432469552;France;0;0;11/02/2022;18/02/2022;Soleil;4;Thailand;Hiver;Agence;1;;11/02/2022;18/02/2022;Soleil;4;Thailand;Hiver;Agence;1;;0;1;0;0;2279;0;0;7;0;0;1;0;0;0;0;1;7;
ID_26460832925817;France;0;0;01/05/2022;08/05/2022;Montagne;3;Switzerland;Hiver;;2;2;01/05/2022;08/05/2022;Montagne;3;Switzerland;Hiver;Agence;2;2;0;1;0;0;4260;0;0;7;0;0;4;0;0;1090;0;1;7;Sports
ID_26464332545536;France;0;0;01/04/2021;08/04/2021;Montagne;3;France;Hiver;Agence;1;;01/04/2021;08/04/2021;Montagne;3;France;Hiver;Agence;1;;1;0;0;1047;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_26467632425850;France;0;0;21/01/2021;28/01/2021;Soleil;3;Tunisia;Hiver;Agence;2;;21/01/2021;28/01/2021;Soleil;3;Tunisia;Hiver;Agence;2;;1;0;0;1627;0;0;7;0;0;2;0;0;463;0;0;1;7;Excursion|Boutique|Services|Bien-être
ID_26470732129715;France;0;0;22/10/2021;29/10/2021;Montagne;4;France;Eté;Agence;2;2;22/10/2021;29/10/2021;Montagne;4;France;Eté;Agence;2;2;1;0;0;2474;0;0;7;0;0;4;0;0;0;0;0;1;7;
ID_26471332478280;France;0;0;22/11/2022;26/11/2022;Soleil;3;France;Eté;Indirect;1;;22/11/2022;26/11/2022;Soleil;3;France;Eté;Indirect;1;;0;1;0;0;509;0;0;4;0;0;1;0;0;0;0;1;4;
ID_26486632427797;France;0;0;14/06/2023;17/06/2023;Montagne;4;Italy;Hiver;Agence;2;;14/06/2023;17/06/2023;Montagne;4;Italy;Hiver;Agence;2;;0;0;1;0;0;1262;0;0;3;0;0;2;0;0;20;1;3;Excursion
ID_26488732506802;France;0;0;23/10/2022;29/10/2022;Soleil;3;Turkey;Eté;Indirect;1;;23/10/2022;29/10/2022;Soleil;3;Turkey;Eté;Indirect;1;;0;1;0;0;1125;0;0;6;0;0;1;0;0;0;0;1;6;
ID_26489932585620;France;0;0;04/12/2021;05/12/2021;Soleil;4;Martinique;Eté;Agence;2;2;04/12/2021;05/12/2021;Soleil;4;Martinique;Eté;Agence;2;2;1;0;0;463;0;0;1;0;0;4;0;0;0;0;0;1;1;
ID_26498532299014;France;0;0;30/01/2021;09/02/2021;Soleil;4;Thailand;Hiver;Agence;1;;30/01/2021;09/02/2021;Soleil;4;Thailand;Hiver;Agence;1;;1;0;0;2251;0;0;9;0;0;1;0;0;720;0;0;1;9;Services|Boutique
ID_26516832871085;France;0;0;21/05/2021;22/05/2021;Soleil;4;Martinique;Hiver;Agence;2;;21/05/2021;22/05/2021;Soleil;4;Martinique;Hiver;Agence;2;;1;0;0;353;0;0;1;0;0;2;0;0;0;0;0;1;1;
ID_26517032841774;France;0;0;06/08/2022;13/08/2022;Soleil;4;Portugal;Eté;Indirect;2;;06/08/2022;13/08/2022;Soleil;4;Portugal;Eté;Indirect;2;;0;1;0;0;2402;0;0;7;0;0;2;0;0;310;0;1;7;Sports
ID_26521232616935;France;0;0;18/04/2023;20/04/2023;Montagne;3;France;Hiver;Web;1;2;18/04/2023;20/04/2023;Montagne;3;France;Hiver;Web;1;2;0;0;1;0;0;1623;0;0;2;0;0;3;0;0;208;1;2;Sports|Boutique
